,1.5,2,3,4,1.5,2,3,4,1.5,2,3,4
,rcp26,rcp26,rcp26,rcp26,rcp45,rcp45,rcp45,rcp45,rcp85,rcp85,rcp85,rcp85
MPI-M_MPI-ESM-LR_r3i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,2011-2030,,,,2013-2032,2035-2054,,,2011-2030,2026-2045,2050-2069,2071-2090
MPI-M_MPI-ESM-LR_r3i1p1_GERICS_REMO2015_v1,2011-2030,,,,2013-2032,2035-2054,,,2011-2030,2026-2045,2050-2069,2071-2090
MPI-M_MPI-ESM-LR_r3i1p1_SMHI_RCA4_v1,2011-2030,,,,2013-2032,2035-2054,,,2011-2030,2026-2045,2050-2069,2071-2090
NCC_NorESM1-M_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_CNRM_ALADIN63_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_DMI_HIRHAM5_v3,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_GERICS_REMO2015_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_IPSL_WRF381P_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_KNMI_RACMO22E_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_MOHC_HadREM3-GA7-05_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
NCC_NorESM1-M_r1i1p1_SMHI_RCA4_v1,,,,,2030-2049,2064-2083,,,2023-2042,2039-2058,2064-2083,
